index,soleil
0,-68.03618552342071
1,-73.94868822384028
2,-71.06602594288093
3,-62.016308054759115
4,-50.97315753187117
5,-39.377867369298855
6,-27.743760669247372
7,-16.356254058914946
8,-5.464326837679817
9,4.810410592030969
10,13.651662421365412
11,20.906513694534762
12,25.91077607811577
13,28.085100860290126
14,27.125487937252032
15,23.17063364039218
16,16.72125561707886
17,8.414826589188714
18,-1.3920405589911788
19,-12.014462657254825
20,-23.237465306938407
21,-34.8025508253476
22,-46.45033845726891
23,-57.793440146519195
24,-67.90266949557376
25,-73.85046302028466
26,-71.04801390756306
27,-62.0432044321093
28,-51.015842540473415
29,-27.787981329273393
30,-16.394062998613798
31,-5.491991008096288
32,4.7972202486886
33,13.656650255546998
34,20.93464393331895
35,25.965658172066814
36,28.16728976670951
37,27.231240133216712
38,23.293206391141773
39,16.853694798249425
40,8.551179560043341
41,-1.2523255187729
42,-11.874526682668842
43,-23.097936206430205
44,-34.663350002182185
45,-46.31084039870571
46,-57.65289968552089
47,-67.76402269782382
48,-73.74440333924854
49,-51.05297966314996
50,-39.46558354053964
51,-27.82695784350671
52,-16.42643441997796
53,-5.513892262205588
54,4.790049725487229
55,13.668261774216328
56,20.96986646344242
57,26.02795050700341
58,28.256918538405184
59,27.344089338728416
60,23.42222016311346
61,16.991769580912855
62,8.692373589711087
63,-1.108454957473724
64,-11.730992163334923
65,-22.955203977138613
66,-34.521148457312286
67,-46.168277151095246
68,-57.50877926641809
69,-67.620378810496
70,-73.63062018918885
71,-70.98775668481825
72,-51.08443954071945
73,-39.50146379502258
74,-27.86058796762194
75,-16.453281167053923
76,-5.529959954907769
77,4.788948841736498
78,13.68652878078606
79,21.012191018558436
80,26.097639516047376
81,28.353949556892218
82,27.463973583573996
83,23.55759028544636
84,17.135377329468433
85,8.838296208624065
86,-0.9605522009254169
87,-11.58398518691547
88,-22.809394370929773
89,-34.376069581049904
90,-46.02276900047653
91,-57.361198344644585
92,-67.47186723292606
93,-73.50922848552462
94,-70.94536715863556
95,-51.110097017079205
96,-39.53187456509127
97,-27.888774031959905
98,-16.474520934791787
99,-5.540128463029423
100,4.793963409111746
101,13.711478391413825
102,21.061623082632313
103,26.17470812316285
104,28.45834256474958
105,27.59082910636936
106,23.699231112369752
107,17.28441528406011
108,8.98883553109965
109,-0.2037521484083934
110,-11.433629073712801
111,-22.660629449664274
112,-34.228232184204465
113,-45.87443080099975
114,-57.21027024083367
115,-67.3186116870328
116,-73.3803461909979
117,-70.89472477106422
118,-51.12983300736855
119,-39.55670979231441
120,-27.911424630490167
121,-16.49007784505201
122,-5.544338630356399
123,4.80513400217806
124,13.743131947390895
125,21.118163042059123
126,26.259135190897222
127,28.57005444777507
128,27.724590471365275
129,23.84705643056335
130,17.438781189239112
131,9.143881035262535
132,-0.07443392623459677
133,-11.280043460082558
134,-22.509026666579764
135,-34.077749609043856
136,-45.723371148724354
137,-57.056101423762435
138,-67.16072963169053
139,-73.24409369366822
140,-70.83578467373536
141,-51.14353545337029
142,-39.57587034247316
143,-27.928455386550368
144,-16.49988312953927
145,-5.542538368751202
146,4.822495459982167
147,13.781504573307842
148,21.181805824668537
149,26.350895245585768
150,28.689039050515024
151,27.865190469871028
152,24.000979432940174
153,17.598373320058855
154,9.303323626204412
155,0.058339827387487275
156,-11.123344240554266
157,-22.35469883532443
158,-33.924729740491124
159,-45.56969244600667
160,-56.89879163058446
161,-66.99833235348792
162,-73.10059333417429
163,-70.76851374905054
164,-62.0652876574358
165,-51.1510994382739
166,-39.58926401180971
167,-27.93978888845637
168,-16.503875016783955
169,-5.534682516682597
170,4.846077026134852
171,13.826605312944011
172,21.25254099480673
173,26.449958500325064
174,28.815247105402534
175,28.01255995047087
176,24.160912461539976
177,17.763090156973085
178,9.467055267995216
179,0.1948888977245244
180,-10.963644031337585
181,-22.197754631388342
182,-33.76927554317166
183,-45.41349147210178
184,-56.7384344510931
185,-66.83152541847927
186,-72.9499690008502
187,-70.69289034589303
188,-62.04465920521241
189,-51.15242683404442
190,-39.596805078314695
191,-27.945354188462154
192,-16.501998207901988
193,-5.520732315912171
194,4.875902806172134
195,13.87843755583682
196,21.33035308291942
197,26.5562910461355
198,28.94862625623815
199,28.166627670272337
200,24.326766710677582
201,17.93282997901586
202,9.63496851207792
203,0.3354410089823323
204,-10.801052754170014
205,-22.03829921309607
206,-33.61148571231473
207,-45.2548600536695
208,-56.57511799242966
209,-66.6604091825351
210,-72.79234574726401
211,-70.60890390143622
212,-62.01682070081222
213,-51.14742588399428
214,-39.59841380213285
215,-27.945086264220762
216,-16.494203326654084
217,-5.500654871429121
218,4.911992223484758
219,13.936999477380667
220,21.41522193284367
221,26.669855068770804
222,29.089121120696223
223,28.327320202790382
224,24.49845200456288
225,18.107490546113084
226,9.80695612614932
227,0.4801392778457233
228,-10.635678097770976
229,-21.876434708906615
230,-33.45145518419675
231,-45.093885595097746
232,-56.408925409665414
233,-66.48507920186583
234,-72.62784941308101
235,-70.51655459370241
236,-39.5940160769844
237,-27.93892563108581
238,-16.480446514727152
239,-5.474422748616215
240,4.954360338860234
241,14.00228437432582
242,21.5071229765383
243,26.7906090359433
244,29.23667337181549
245,28.494561912497176
246,24.67587668286065
247,18.28696892295935
248,9.9829108868472
249,0.6290531263005994
250,-10.467625793977286
251,-21.71226051809973
252,-33.289275458424044
253,-44.930651420649106
254,-56.23993526062846
255,-66.30562650839389
256,-72.45660623115857
257,-70.41585301990308
258,-39.583543229604494
259,-27.92681809834212
260,-16.460689162943428
261,-5.442013691622874
262,5.0030180603649645
263,14.074280923201595
264,21.606027463225402
265,26.918507876150766
266,29.391221854006535
267,28.668275004471813
268,24.858947593662535
269,18.47116143131986
270,10.162725514621796
271,0.7821905369310798
272,-10.296999737319485
273,-21.545873452724972
274,-33.12503476683704
275,-44.76523697024291
276,-56.06822172247014
277,-66.12213777547719
278,-72.27874241073475
279,-70.30681985914605
280,-61.889270856809276
281,-51.09362618368946
282,-39.56693190511354
283,-27.908714610441457
284,-16.434897721344665
285,-5.403410412981562
286,5.057972283665476
287,14.152973397251886
288,21.711902669575093
289,27.053503166476492
